Raw name,Mapped name,Normalized name,Language
amo finance,,amo finance,it
at kearney,,at kearney,id
at kearney gmbh,,at kearney gmbh,en
aw niemeyer gmbh,,aw niemeyer gmbh,pl
a3,,a3,hu
a metrologie,,a metrologie,it
a metrologie sas,,a metrologie sas,sk
ametrologie,,ametrologie,it
as frucht gmbh  co kg,,as frucht gmbh  co kg,en
ãârztekammer berlin,,ãârztekammer berlin,de
ãâudea seguridad de la informaciãânsl,,ãâudea seguridad de la informaciãânsl,pt
ãrztebedarf,,ãrztebedarf,de
ãrztekammer berlin,,ãrztekammer berlin,de
a1 bootyachtcenter,,a1 bootyachtcenter,en
a1 microwave ltd,,a1 microwave ltd,en
a2 research ab,,a2 research ab,en
a2b global media,,a2b global media,cy
a2bk,,a2bk,hu
a2c controle,,a2c controle,it
a2com,,a2com,pt
a2com formation,,a2com formation,en
a2e autonomee,,a2e autonomee,it
a2f advanced advisor for the f,,a2f advanced advisor for the f,en
a2f technologies,,a2f technologies,en
a2ms,,a2ms,hu
a2r electronique,,a2r electronique,fr
a3m designs ltd,,a3m designs ltd,ca
a3ts association de traiement,,a3ts association de traiement,fr
aa access partnership,,aa access partnership,en
aa barkassenexkusionen,,aa barkassenexkusionen,fi
aa calibration services llc,,aa calibration services llc,it
aa chear,,aa chear,so
aa systel sas,,aa systel sas,fi
aãâro xv,,aãâro xv,pt
aãfalg gaspard partner,,aãfalg gaspard partner,no
aãro traduction,,aãro traduction,pt
aaa,,aaa,so
aaa dornier technology co ltd,,aaa dornier technology co ltd,nl
aaa formation,,aaa formation,en
aaa gmbh,,aaa gmbh,so
aaa miami locksmith inc,,aaa miami locksmith inc,et
aaaf,,aaaf,so
aac microtec ab,,aac microtec ab,ca
aachen technical and management,,aachen technical and management,nl
aachen univerisity,,aachen univerisity,de
aage christensen as,,aage christensen as,nl
aai,,aai,so
aai  atlantique automatismes incendie,,aai  atlantique automatismes incendie,fr
aai atlantique automatismes incendi,,aai atlantique automatismes incendi,fr
aai atlantique automatismes incendie,,aai atlantique automatismes incendie,fr
aai coporation,,aai coporation,it
aai corporation,,aai corporation,it
aai technologies,,aai technologies,ro
aai technologies ltd,,aai technologies ltd,fr
aaitechnologies limited,,aaitechnologies limited,et
aalboorg university,,aalboorg university,af
aalborg university,,aalborg university,da
aalco metall,,aalco metall,it
aalcometall gmbh,,aalcometall gmbh,it
aalernhues hotel ohg,,aalernhues hotel ohg,af
aalto university,,aalto university,it
aalto university foundation sr,,aalto university foundation sr,en
aamc,,aamc,so
aamc australia,,aamc australia,lt
aan bv,,aan bv,so
aanderaa data instruments as,,aanderaa data instruments as,af
aapa  association of asia pacific,,aapa  association of asia pacific,en
aapg europe trading ltd,,aapg europe trading ltd,af
aapva,,aapva,af
aar defense systems  logistics uk,,aar defense systems  logistics uk,nl
aar parts trading inc,,aar parts trading inc,nl
aaradhana buildtech,,aaradhana buildtech,so
aardman animations ltd,,aardman animations ltd,tl
aaron  partners llp,,aaron  partners llp,nl
aaron communication,,aaron communication,it
aaronia ag,,aaronia ag,tl
aarpi larrouycastera  cadiou,,aarpi larrouycastera  cadiou,es
aarpi lombard semelaigne dupuy,,aarpi lombard semelaigne dupuy,id
aarse,,aarse,af
aas,,aa,so
aas altlasten und asbestsanierung,,aas altlasten und asbestsanierung,de
aas gmbh,,aas gmbh,so
aas seminare,,aas seminare,et
aasensio mudanzas sl,,aasensio mudanzas sl,et
aasset security gmbh,,aasset security gmbh,en
aatc,,aatc,nl
ab anlagenplanung gmbh,,ab anlagenplanung gmbh,tl
ab aqua medic gmbh,,ab aqua medic gmbh,ca
ab associates,,ab associates,pt
ab conseil,,ab conseil,pt
ab fluid power ltd,,ab fluid power ltd,en
ab logisting,,ab logisting,et
ab logisting sl,,ab logisting sl,tl
ab millimetre,,ab millimetre,et
ab servicios selecta espaãâa s l,,ab servicios selecta espaãâa s l,es
ab servicios selecta espana,,ab servicios selecta espana,es
ab servicos selecta espana slu,,ab servicos selecta espana slu,es
ab solving oy,,ab solving oy,en
aba,,aba,so
aba ag sas,,aba ag sas,tl
aba arbeitsgemeinschaft fuer betrieb,,aba arbeitsgemeinschaft fuer betrieb,de
aba ev arbeitsgemeinschaft,,aba ev arbeitsgemeinschaft,de
aba ev arbeitsgemeinschaft fuer,,aba ev arbeitsgemeinschaft fuer,de
aba ev arbeitsgemeinschaft fãr,,aba ev arbeitsgemeinschaft fãr,de
aba ev arbeitsgemeinschaft fuer,,aba ev arbeitsgemeinschaft fuer,de
abac,,abac,so
abaca press,,abaca press,ca
abaco systems limited,,abaco systems limited,en
abaco systems ltd,,abaco systems ltd,en
abadie aluminium sarl,,abadie aluminium sarl,id
abalia solutions sl,,abalia solutions sl,en
abaques,,abaques,ca
abaques audiovisuel,,abaques audiovisuel,fr
abaques sas,,abaques sas,ca
abaqus inc,,abaqus inc,ca
abaris training,,abaris training,lt
abaris training resources inc,,abaris training resources inc,en
abast systems and solutions sl,,abast systems and solutions sl,en
abast systems sa,,abast systems sa,en
abb,,abb,so
abb automation,,abb automation,it
abb automation gmbh,,abb automation gmbh,it
abb automation products gmbh,,abb automation products gmbh,en
abb electrical products,,abb electrical products,ca
abb france,,abb france,it
abb stotzkontakt gmbh,,abb stotzkontakt gmbh,hu
abba hotel,,abba hotel,hu
abbakan,,abbakan,id
abbakan france,,abbakan france,id
abbakan sas,,abbakan sas,tl
abbakan sas,,abbakan sas,tl
abbey industrial solutions ltd,,abbey industrial solutions ltd,en
abbia gnss technologies,,abbia gnss technologies,it
abbsolute,,abbsolute,it
abbsolute comunicacin sl,,abbsolute comunicacin sl,it
abc,,abc,so
abc  appareillage banc hydraulique,,abc  appareillage banc hydraulique,fr
abc arquitectura modular,,abc arquitectura modular,ca
abc arquitectura modular sl,,abc arquitectura modular sl,ca
abc beschriftungsbedarf gmbh,,abc beschriftungsbedarf gmbh,de
abc business,,abc business,en
abc business communication,,abc business communication,en
abc container ek,,abc container ek,fr
abc entreprises,,abc entreprises,fr
abc justice grand paris,,abc justice grand paris,fr
abc location,,abc location,en
abc sevilla sl,,abc sevilla sl,ca
abc sevilla sl,,abc sevilla sl,it
abc solutions ltd,,abc solutions ltd,fr
abcbeschriftungsbedarf gmbh,,abcbeschriftungsbedarf gmbh,de
abcert ag,,abcert ag,en
abcr gmbh,,abcr gmbh,so
abd affutage,,abd affutage,so
abd druckluft gmbh,,abd druckluft gmbh,de
abdm ingenieurgesellschaft br,,abdm ingenieurgesellschaft br,de
abdou et associes,,abdou et associes,fr
abe,,abe,so
abeba spezialschuhausstatter gmbh,,abeba spezialschuhausstatter gmbh,de
abec,,abec,en
abeille  associes,,abeille  associes,fr
abel  imray,,abel  imray,so
abel  kaeufl,,abel  kaeufl,et
abel  kaeufl mobilfunkhandels gmbh,,abel  kaeufl mobilfunkhandels gmbh,da
abel  ruf gmbh,,abel  ruf gmbh,de
abelkãâufel,,abelkãâufel,hu
abelruf gmbh,,abelruf gmbh,de
abele ingenieure gmbh,,abele ingenieure gmbh,af
abello linde sa,,abello linde sa,it
abeln franz,,abeln franz,de
abenefit2u ltd,,abenefit2u ltd,de
abenstein strassen tief und,,abenstein strassen tief und,de
aberbangor consultancy limited,,aberbangor consultancy limited,en
aberle gmbh,,aberle gmbh,de
abertis,,abertis,de
aberystwyth university,,aberystwyth university,en
abexamiante,,abexamiante,so
abfallwirtschaftsbetrieb,,abfallwirtschaftsbetrieb,de
abfallwirtschaftsgesellschaft,,abfallwirtschaftsgesellschaft,de
abflussas berlin,,abflussas berlin,de
abg concept,,abg concept,es
abg patentes sl,,abg patentes sl,ca
abgi france,,abgi france,it
abh stromschienen gmbh,,abh stromschienen gmbh,de
abicht rainer,,abicht rainer,de
abil producciones comunicaciones,,abil producciones comunicaciones,es
abilita gmbh,,abilita gmbh,tl
ability international ltd,,ability international ltd,en
abilways ls,,abilways ls,so
abindieboxde,,abindieboxde,af
abj,,abj,so
abj architekten bauingenieure,,abj architekten bauingenieure,nl
abl,,abl,ca
abl system,,abl system,cy
abl systems,,abl systems,da
ablaze bristol,,ablaze bristol,it
able and how limited,,able and how limited,en
able gmbh,,able gmbh,fr
able hydraulics ltd,,able hydraulics ltd,cy
able2train,,able2train,fr
abler gmbh,,abler gmbh,no
abls,,abls,ca
abmg,,abmg,tl
abmi,,abmi,so
abmi grand ouest,,abmi grand ouest,fr
abmi ile de france,,abmi ile de france,it
abmi ouest,,abmi ouest,fr
abnc property management,,abnc property management,en
abod  associates llc,,abod  associates llc,en
abond services,,abond services,en
abp automationssysteme gmbh,,abp automationssysteme gmbh,fr
abrake sl,,abrake sl,sl
abrake sl,,abrake sl,sl
abrasivos y maquinaria sa,,abrasivos y maquinaria sa,es
abrechnungsorganisation,,abrechnungsorganisation,de
abri plus equipements,,abri plus equipements,fr
abs,,ab,so
abs logistik service gmbh,,abs logistik service gmbh,en
abs service gmbh,,abs service gmbh,en
absaugtechnik maack,,absaugtechnik maack,et
absberufsbekleidung,,absberufsbekleidung,de
absc,,absc,ca
absc gmbh,,absc gmbh,so
abschlepp und bergungsdienst,,abschlepp und bergungsdienst,de
abschlepp und mobilservice mueller,,abschlepp und mobilservice mueller,it
abscoa industries inc uniseal div,,abscoa industries inc uniseal div,ro
absint,,absint,en
absint angewandte informatik gmbh,,absint angewandte informatik gmbh,da
absiskey,,absiskey,da
absl power solutions ltd,,absl power solutions ltd,en
absolut,,absolut,et
absolut karriere gmbh  co kg,,absolut karriere gmbh  co kg,pl
absolut system,,absolut system,fr
absolut system sas,,absolut system sas,fi
absolvent pl sp z o o,,absolvent pl sp z o o,sk
absys cyborg,,absys cyborg,cy
abt,,abt,so
abt sorime,,abt sorime,it
abtec gmbh  co kg,,abtec gmbh  co kg,pl
abtech safety limited,,abtech safety limited,en
abtei frauenwuerth,,abtei frauenwuerth,de
abthaus restaurant u cafe,,abthaus restaurant u cafe,ca
abti traduction,,abti traduction,en
abughazaleh international,,abughazaleh international,en
abus crane systems limited,,abus crane systems limited,en
abus kransysteme gmbh,,abus kransysteme gmbh,da
abus levage france,,abus levage france,fr
abv architekten und bauherren,,abv architekten und bauherren,de
abwasserzweckverband,,abwasserzweckverband,de
abylsen,,abylsen,da
abylsen gamma,,abylsen gamma,no
abylsen sigma,,abylsen sigma,da
abzeitsysteme gmbh,,abzeitsysteme gmbh,de
ac  promotorados sl,,ac  promotorados sl,pt
ac flag and banner inc,,ac flag and banner inc,en
ac hotel,,ac hotel,en
ac hotel sevilla niv srlu,,ac hotel sevilla niv srlu,ca
ac painting contractor corp,,ac painting contractor corp,en
acs,,ac,cy
ac6,,ac6,cy
acadas,,acadas,so
acadas gmbh,,acadas gmbh,so
academie de sophrologie,,academie de sophrologie,fr
academie des sciences,,academie des sciences,es
academy,,academy,es
academy beaugrenelle,,academy beaugrenelle,cy
academy intensivfahrschule nordheide gmbh,,academy intensivfahrschule nordheide gmbh,de
academy of european,,academy of european,en
academy of european industrial engineers ev,,academy of european industrial engineers ev,en
acadian advantage,,acadian advantage,id
acal bfi,,acal bfi,ca
acal bfi france sas,,acal bfi france sas,ro
acal bfi uk limited,,acal bfi uk limited,ro
acal technology,,acal technology,en
acando gmbh,,acando gmbh,pt
acano uk ltd,,acano uk ltd,es
acap demenagements,,acap demenagements,nl
acatec sl,,acatec sl,ro
acatech deutsche akademie,,acatech deutsche akademie,de
acatech hauptstadtbuero,,acatech hauptstadtbuero,de
acb,,acb,cy
acb sas,,acb sas,tl
acb solutions,,acb solutions,fr
acc,,acc,it
acc ingenierie,,acc ingenierie,de
accede atout,,accede atout,it
acceed gmbh,,acceed gmbh,en
accellonet,,accellonet,it
accellonet consulting gmbh,,accellonet consulting gmbh,it
accelmedia,,accelmedia,it
accelonix,,accelonix,ro
accelonix ltd,,accelonix ltd,ca
accemic gmbh  co kg,,accemic gmbh  co kg,en
accemic technologies gmbh,,accemic technologies gmbh,en
accent johnston limousine inc,,accent johnston limousine inc,en
accent languages,,accent languages,ca
accenture,,accenture,ro
accenture bv,,accenture bv,ro
accenture gmbh,,accenture gmbh,ro
accenture llp,,accenture llp,ca
accenture sl,,accenture sl,ro
accenture sas,,accenture sas,ro
accenture services france,,accenture services france,fr
accenture sl,,accenture sl,ro
accenture uk limited,,accenture uk limited,ro
acces matic sud,,acces matic sud,ca
accesos normalizados,,accesos normalizados,pt
access communications,,access communications,it
access engineering services ltd,,access engineering services ltd,en
access ev,,access ev,en
access france,,access france,it
access intelligence llc,,access intelligence llc,it
access kellyocg gmbh,,access kellyocg gmbh,en
accessdata group inc,,accessdata group inc,it
accessory fulfillment center llc,,accessory fulfillment center llc,en
acciaris,,acciaris,it
acciona,,acciona,it
acciona facility services,,acciona facility services,en
acciona infraestructuras sa,,acciona infraestructuras sa,es
accipio,,accipio,it
accon avm,,accon avm,it
accon avm accountants bv,,accon avm accountants bv,en
accor,,accor,it
accor hospitality germany gmbh,,accor hospitality germany gmbh,en
accorhotels germany gmbh,,accorhotels germany gmbh,en
accorinvest germany gmbh,,accorinvest germany gmbh,en
accorinvest spain sa,,accorinvest spain sa,en
account center llp,,account center llp,ca
accounting  tax offices,,accounting  tax offices,en
accu pemar sl,,accu pemar sl,ro
accu pemar sl,,accu pemar sl,ro
accu vertrieb sd gmbh,,accu vertrieb sd gmbh,ro
accudyne engineering  equipment,,accudyne engineering  equipment,en
accudyne systems inc,,accudyne systems inc,en
accufleet,,accufleet,ro
accufleet testing services,,accufleet testing services,en
accupemar sl,,accupemar sl,ro
accuracy,,accuracy,es
accuracy beijing consulting co,,accuracy beijing consulting co,en
accuracy sau,,accuracy sau,ro
accurate cutting services limited,,accurate cutting services limited,ro
accurate cutting services ltd,,accurate cutting services ltd,en
accurex measurement inc,,accurex measurement inc,ro
accutrack systems llc,,accutrack systems llc,en
ace advanced composite,,ace advanced composite,it
ace education consulting co ltd,,ace education consulting co ltd,en
ace engineering co ltd,,ace engineering co ltd,en
ace engineering coltd,,ace engineering coltd,en
ace european group ltd,,ace european group ltd,fr
ace fire extinguisher serv inc,,ace fire extinguisher serv inc,en
ace fire extinguisher serv inc,,ace fire extinguisher serv inc,en
ace gmbh,,ace gmbh,ro
ace handels und entwicklungs,,ace handels und entwicklungs,de
ace hotel,,ace hotel,en
ace industries inc,,ace industries inc,en
ace ingenierie,,ace ingenierie,nl
ace lifts ltd,,ace lifts ltd,en
ace nl b v,,ace nl b v,ro
ace parking lot 4250,,ace parking lot 4250,en
ace stossdaempfer gmbh,,ace stossdaempfer gmbh,en
ace systems,,ace systems,en
ace timing,,ace timing,en
ace2i,,ace2i,ro
acecho seguridad sl,,acecho seguridad sl,es
acellent technologies inc,,acellent technologies inc,fr
acens,,acens,pt
acent integration,,acent integration,en
aceria,,aceria,ro
acesi,,acesi,es
aceso mip,,aceso mip,es
acf teambuilding and events,,acf teambuilding and events,en
acf teambuilding and events ltd,,acf teambuilding and events ltd,en
acfci,,acfci,ro
acfitec,,acfitec,ro
acfitec sarl,,acfitec sarl,ro
acfm,,acfm,cy
acfs,,acfs,cy
acft perfo sarl,,acft perfo sarl,ro
acg  automatismes,,acg  automatismes,fr
acg solutions,,acg solutions,fr
acg systems inc,,acg systems inc,en
acg systems inc,,acg systems inc,en
ach sellerie tapisserie,,ach sellerie tapisserie,de
achats service ile de france,,achats service ile de france,fr
achgelis schweisstechnik,,achgelis schweisstechnik,de
achieve hire group,,achieve hire group,en
achilles information,,achilles information,en
achilles information ltd,,achilles information ltd,en
achtelfelf das taxi gmbh,,achtelfelf das taxi gmbh,de
aci academy of competitive intelligence,,aci academy of competitive intelligence,en
aci elevation,,aci elevation,it
aci financial markets association,,aci financial markets association,en
aci industriearmaturen gmbh,,aci industriearmaturen gmbh,ro
acial,,acial,es
acias ev,,acias ev,es
acies,,acies,es
acil,,acil,es
acim jouanin,,acim jouanin,hr
acimex,,acimex,es
aciturri,,aciturri,ca
aciturri assembly sau,,aciturri assembly sau,en
aciturri composites slu,,aciturri composites slu,ca
ackermann interntional,,ackermann interntional,en
aclabsur,,aclabsur,ca
aclabsur slp,,aclabsur slp,fr
aclawerke gmbh,,aclawerke gmbh,nl
acm,,acm,ro
acma ecars sl,,acma ecars sl,ca
acma ecars sl,,acma ecars sl,ca
acma gmbh,,acma gmbh,so
acme industrieservice,,acme industrieservice,en
acmh  ateliers construction,,acmh  ateliers construction,en
acn,,acn,cy
acobur asesores sl,,acobur asesores sl,es
acolada,,acolada,es
acolada gmbh,,acolada gmbh,so
acompany,,acompany,ca
acoris sarl,,acoris sarl,es
acorn industrial services ltd,,acorn industrial services ltd,en
acos printing,,acos printing,es
acoser maquinas de coser sl,,acoser maquinas de coser sl,es
acoustical analysis associates inc,,acoustical analysis associates inc,en
acp coaching,,acp coaching,en
acp spp,,acp spp,en
acpi,,acpi,ro
acq international bv,,acq international bv,it
acq international bv,,acq international bv,en
acqpa,,acqpa,ca
acqua jet,,acqua jet,hr
acquajet semae sl,,acquajet semae sl,fr
acquip inc,,acquip inc,ca
acquisys,,acquisys,fr
acr,,acr,ro
acr chiller rent gmbh,,acr chiller rent gmbh,fr
acra,,acra,ro
acra control,,acra control,it
acra control limited,,acra control limited,it
acra control ltd,,acra control ltd,it
acra control ltd ta curtiss wright,,acra control ltd ta curtiss wright,en
acreo swedish ict ab,,acreo swedish ict ab,en
acro demenagements,,acro demenagements,nl
acrodur industrie,,acrodur industrie,ro
acrolinx gmbh,,acrolinx gmbh,en
acs,,ac,ro
acs coating systems gmbh,,acs coating systems gmbh,en
acscontrolsystem gmbh,,acscontrolsystem gmbh,pl
acseo,,acseo,ca
acsg gmbh  co kg,,acsg gmbh  co kg,so
acsia  agence comptable des,,acsia  agence comptable des,ca
acsoft ltd,,acsoft ltd,en
acss,,ac,cy
acssi,,acssi,ca
acsys lasertechnik gmbh,,acsys lasertechnik gmbh,en
acsysteme,,acsysteme,fr
act administration limited,,act administration limited,ro
act administration ltd,,act administration ltd,en
act administration,,act administration,en
act engineering,,act engineering,nl
act leadership llc,,act leadership llc,en
act rmc,,act rmc,ro
acte1,,acte1,ro
acteis  scp davocats,,acteis  scp davocats,ca
actemium fournie grospaud industrie,,actemium fournie grospaud industrie,ro
actemium gtie atlantis,,actemium gtie atlantis,ro
actemium rennes,,actemium rennes,fr
actemium uk,,actemium uk,ro
acti conseils,,acti conseils,fr
actia,,actia,en
actia group,,actia group,en
actia telecom,,actia telecom,ro
actian,,actian,en
actian france,,actian france,en
actian germany gmbh,,actian germany gmbh,en
actice angelica cristian,,actice angelica cristian,ro
acticom gmbh,,acticom gmbh,pt
acticonseils,,acticonseils,fr
actides water solutions gmbh,,actides water solutions gmbh,en
actidyn,,actidyn,cy
actidyn systemes,,actidyn systemes,cy
actidyn systemes sa,,actidyn systemes sa,cy
actif signal,,actif signal,fr
actility sa,,actility sa,en
actiman,,actiman,ro
actiman location,,actiman location,en
actiman sas,,actiman sas,tl
actimman,,actimman,en
actinuum,,actinuum,ro
action  funtours,,action  funtours,fr
action conseil demenagement,,action conseil demenagement,fr
action logement services,,action logement services,fr
action ndt,,action ndt,en
action on hearing loss ltd,,action on hearing loss ltd,en
actionndt,,actionndt,fr
actipro,,actipro,ro
actis business partners bv,,actis business partners bv,en
activ cars gmbh,,activ cars gmbh,ro
activ concept,,activ concept,ro
activa eventmanagement,,activa eventmanagement,ca
activate,,activate,ro
activation business theatre,,activation business theatre,en
activation management llc dba,,activation management llc dba,fr
activation restaurant llc dba,,activation restaurant llc dba,fr
activcompany,,activcompany,en
active blue gmbh  cokg,,active blue gmbh  cokg,en
active blue gmbh  cokg,,active blue gmbh  cokg,en
active business y technology,,active business y technology,en
active capital management gmbh,,active capital management gmbh,ca
active circle,,active circle,fr
active reseaux et telecom,,active reseaux et telecom,fr
active reseaux telecom,,active reseaux telecom,fr
active rh conseil,,active rh conseil,en
active risk group,,active risk group,en
active risk group plc,,active risk group plc,en
active risk limited,,active risk limited,en
active risk ltd,,active risk ltd,en
activeark jwt ltd,,activeark jwt ltd,en
activeo,,activeo,en
activestandards,,activestandards,en
activestate software,,activestate software,en
activestate software inc,,activestate software inc,en
actividades de la bahia 2000 sl,,actividades de la bahia 2000 sl,es
actividades de mudanzas y gestion,,actividades de mudanzas y gestion,es
activise,,activise,fr
activium id,,activium id,ro
activium information design,,activium information design,en
activus services,,activus services,en
actiwork,,actiwork,en
actrans gmbh,,actrans gmbh,fr
acts  events,,acts  events,ca
actual communication,,actual communication,ca
actuaplast,,actuaplast,es
acturion datasys gmbh,,acturion datasys gmbh,en
acu klebeband roessler gmbh,,acu klebeband roessler gmbh,af
acuity coaching,,acuity coaching,en
acuity coaching limited,,acuity coaching limited,en
acumen consultancy and training,,acumen consultancy and training,en
acumen consultancy and training ltd,,acumen consultancy and training ltd,en
acustica integral sl,,acustica integral sl,ro
acutronic switzerland ltd,,acutronic switzerland ltd,ro
acxys technologies,,acxys technologies,en
ad fabrication,,ad fabrication,en
ad fabrications,,ad fabrications,en
ad garonne cambus,,ad garonne cambus,cy
ad grundstuecksgesellschaft,,ad grundstuecksgesellschaft,de
ad hoc communication,,ad hoc communication,en
ad invaders,,ad invaders,sv
ad modum gmbh,,ad modum gmbh,pl
ad rem,,ad rem,cy
adac,,adac,so
adac fahrsicherheitszentrum,,adac fahrsicherheitszentrum,de
adac schleswigholstein ev,,adac schleswigholstein ev,de
adacore,,adacore,pt
adacore sas,,adacore sas,pt
adageo,,adageo,so
adagio city aparthotel,,adagio city aparthotel,en
adalbert zajadacz gmbh,,adalbert zajadacz gmbh,pl
adalbert zajadacz gmbh  co kg,,adalbert zajadacz gmbh  co kg,pl
adam baumãller gmbh,,adam baumãller gmbh,id
adam hall gmbh,,adam hall gmbh,so
adam keller baugeschãft gmbh  co kg,,adam keller baugeschãft gmbh  co kg,de
adam keller baugeschaeft gmbh  co kg,,adam keller baugeschaeft gmbh  co kg,de
adam medien,,adam medien,id
adams consult gmbh  co kg,,adams consult gmbh  co kg,pt
adamson  partners,,adamson  partners,id
adamson and partners,,adamson and partners,en
adapei,,adapei,id
adapei les papillons blancs,,adapei les papillons blancs,ca
adaptive insights llc,,adaptive insights llc,en
adaptive predic expert,,adaptive predic expert,ro
adaptronic pruftechnik gmbh,,adaptronic pruftechnik gmbh,pl
adaptronics,,adaptronics,ca
adarsh realty  hotels private ltd,,adarsh realty  hotels private ltd,en
adatica,,adatica,pt
adatica engineering sl,,adatica engineering sl,id
adb safegate germany gmbh,,adb safegate germany gmbh,id
adc,,adc,cy
adc ateliers de la chainette s,,adc ateliers de la chainette s,fr
adc ateliers de la chainette sas,,adc ateliers de la chainette sas,fr
adc demolition,,adc demolition,it
adc dircom,,adc dircom,it
adc gmbh  co kg,,adc gmbh  co kg,so
adchem gmbh,,adchem gmbh,pl
adcom internet  sinensis sarl,,adcom internet  sinensis sarl,da
addcom,,addcom,pt
addcom sarl,,addcom sarl,pt
addcon nordic as,,addcon nordic as,en
addenda,,addendum,id
addev dimex,,addev dimex,ro
addhire self drive ltd,,addhire self drive ltd,da
addilan fabricacion aditiva sl,,addilan fabricacion aditiva sl,es
adding acturiat et conseil rh,,adding acturiat et conseil rh,ro
addis electronic,,addis electronic,es
addison lee plc,,addison lee plc,cy
additek,,additek,id
addition manufacturing technol,,addition manufacturing technol,en
addition mt,,addition mt,cy
additive gmbh,,additive gmbh,sq
additive gmbh  soft und hardware,,additive gmbh  soft und hardware,en
addium sas,,addium sas,id
addlife inc,,addlife inc,cy
addon systemhaus,,addon systemhaus,cy
addon systemhaus gmbh,,addon systemhaus gmbh,cy
addrienne arsht center,,addrienne arsht center,fr
ade vertriebs gmbh,,ade vertriebs gmbh,af
adecco,,adecco,pt
adecco business solutions gmbh,,adecco business solutions gmbh,en
adecco formation,,adecco formation,it
adecco france,,adecco france,it
adecco france  nantes,,adecco france  nantes,it
adecco groupe,,adecco groupe,it
adecco outsourcing,,adecco outsourcing,en
adecco training,,adecco training,it
adecco tt,,adecco tt,it
adecco tt sa empresa de trabajo,,adecco tt sa empresa de trabajo,es
adecco tt sa empresa de trabajo,,adecco tt sa empresa de trabajo,es
adefim,,adefim,pt
adefim loire atlantique,,adefim loire atlantique,fr
adefim midi pyrenees,,adefim midi pyrenees,et
adefim midipyrenees,,adefim midipyrenees,et
adefim poitou charentes,,adefim poitou charentes,pt
adefy,,adefy,cy
adei esat de marlonges,,adei esat de marlonges,ca
adekma levage sarl,,adekma levage sarl,et
adekma ouest,,adekma ouest,pt
adel wiggins group,,adel wiggins group,af
adelante gmbh,,adelante gmbh,es
adele brucks,,adele brucks,da
adelie,,adelie,af
adelwiggins group,,adelwiggins group,af
adelwitz technologiezentrum gmbh,,adelwitz technologiezentrum gmbh,de
aden hotel,,aden hotel,nl
aden services,,aden services,es
adentis,,adentis,pt
adentis_1,,adentis_1,pt
adepetun caxtonmartins agbor,,adepetun caxtonmartins agbor,ca
adept fasteners inc,,adept fasteners inc,nl
adept fasteners inc,,adept fasteners inc,en
