Raw name,Mapped name,Language
acfci,,ro
acfitec,,ro
acfitec sarl,,ro
acfm,,cy
acfs,,cy
acft perfo sarl,,ro
acg  automatismes,,fr
acg solutions,,fr
acg systems inc,,en
acg systems inc,,en
ach sellerie tapisserie,,de
achats service ile de france,,fr
achgelis schweisstechnik,,de
achieve hire group,,en
achilles information,,en
achilles information ltd,,en
achtelfelf das taxi gmbh,,de
aci academy of competitive intelligence,,en
aci elevation,,it
aci financial markets association,,en
aci industriearmaturen gmbh,,ro
acial,,es
acias ev,,es
acies,,es
acil,,es
acim jouanin,,hr
acimex,,es
aciturri,,ca
aciturri assembly sau,,en
aciturri composites slu,,ca
ackermann interntional,,en
aclabsur,,ca
aclabsur slp,,fr
aclawerke gmbh,,nl
acm,,ro
acma ecars sl,,ca
acma ecars sl,,ca
acma gmbh,,so
acme industrieservice,,en
acmh  ateliers construction,,en
acn,,cy
acobur asesores sl,,es
acolada,,es
acolada gmbh,,so
acompany,,ca
acoris sarl,,es
acorn industrial services ltd,,en
acos printing,,es
acoser maquinas de coser sl,,es
acoustical analysis associates inc,,en
acp coaching,,en
acp spp,,en
acpi,,ro
acq international bv,,en
acq international bv,,en
acqpa,,ca
acqua jet,,hr
acquajet semae sl,,fr
acquip inc,,ca
acquisys,,fr
acr,,ro
acr chiller rent gmbh,,fr
acra,,ro
acra control,,it
acra control limited,,it
acra control ltd,,it
acra control ltd ta curtiss wright,,en
acreo swedish ict ab,,en
acro demenagements,,nl
acrodur industrie,,ro
acrolinx gmbh,,en
acs,,ca
acs coating systems gmbh,,en
acscontrolsystem gmbh,,pl
acseo,,ca
acsg gmbh  co kg,,cy
acsia  agence comptable des,,ca
acsoft ltd,,en
acss,,ca
acssi,,ca
acsys lasertechnik gmbh,,de
acsysteme,,fr
act administration limited,,en
act administration ltd,,en
act administration,,en
act engineering,,nl
act leadership llc,,en
act rmc,,ro
acte1,,ro
acteis  scp davocats,,ca
actemium fournie grospaud industrie,,ro
actemium gtie atlantis,,ro
actemium rennes,,fr
actemium uk,,ro
acti conseils,,fr
actia,,en
actia group,,en
actia telecom,,ro
actian,,en
actian france,,en
actian germany gmbh,,en
actice angelica cristian,,ro
acticom gmbh,,en
acticonseils,,fr
actides water solutions gmbh,,en
actidyn,,cy
actidyn systemes,,cy
actidyn systemes sa,,cy
actif signal,,fr
actility sa,,en
actiman,,ro
actiman location,,en
actiman sas,,tl
actimman,,en
actinuum,,ro
action  funtours,,fr
action conseil demenagement,,fr
action logement services,,fr
action ndt,,en
action on hearing loss ltd,,en
actionndt,,fr
actipro,,ro
actis business partners bv,,en
activ cars gmbh,,ro
activ concept,,ro
activa eventmanagement,,ca
activate,,ro
activation business theatre,,en
activation management llc dba,,fr
activation restaurant llc dba,,fr
activcompany,,en
active blue gmbh  cokg,,en
active blue gmbh  cokg,,en
active business y technology,,en
active capital management gmbh,,ca
active circle,,fr
active reseaux et telecom,,fr
active reseaux telecom,,fr
active rh conseil,,en
active risk group,,en
active risk group plc,,en
active risk limited,,en
active risk ltd,,en
activeark jwt ltd,,en
activeo,,en
activestandards,,en
activestate software,,en
activestate software inc,,en
actividades de la bahia 2000 sl,,es
actividades de mudanzas y gestion,,es
activise,,en
activium id,,ro
activium information design,,en
activus services,,en
actiwork,,en
actrans gmbh,,fr
acts  events,,en
actual communication,,ca
actuaplast,,es
acturion datasys gmbh,,en
acu klebeband roessler gmbh,,af
acuity coaching,,en
acuity coaching limited,,en
acumen consultancy and training,,en
acumen consultancy and training ltd,,en
acustica integral sl,,ro
acutronic switzerland ltd,,ro
acxys technologies,,en
ad fabrication,,en
ad fabrications,,en
ad garonne cambus,,cy
ad grundstuecksgesellschaft,,de
ad hoc communication,,en
ad invaders,,sv
ad modum gmbh,,cy
ad rem,,es
adac,,so
adac fahrsicherheitszentrum,,de
adac schleswigholstein ev,,de
adacore,,pt
adacore sas,,pt
adageo,,so
adagio city aparthotel,,en
adalbert zajadacz gmbh,,pl
adalbert zajadacz gmbh  co kg,,pl
adam baumãller gmbh,,id
adam hall gmbh,,so
adam keller baugeschãft gmbh  co kg,,de
adam keller baugeschaeft gmbh  co kg,,de
adam medien,,id
adams consult gmbh  co kg,,pt
adamson  partners,,id
adamson and partners,,en
adapei,,id
adapei les papillons blancs,,ca
adaptive insights llc,,en
adaptive predic expert,,ro
adaptronic pruftechnik gmbh,,pl
adaptronics,,ca
adarsh realty  hotels private ltd,,en
adatica,,pt
adatica engineering sl,,en
adb safegate germany gmbh,,id
adc,,id
adc ateliers de la chainette s,,fr
adc ateliers de la chainette sas,,fr
adc demolition,,it
adc dircom,,it
adc gmbh  co kg,,so
adchem gmbh,,de
adcom internet  sinensis sarl,,da
addcom,,cy
addcom sarl,,pt
addcon nordic as,,en
addenda,,tr
addev dimex,,ro
addhire self drive ltd,,no
addilan fabricacion aditiva sl,,es
adding acturiat et conseil rh,,cy
addis electronic,,es
addison lee plc,,cy
additek,,id
addition manufacturing technol,,en
addition mt,,cy
additive gmbh,,sq
additive gmbh  soft und hardware,,en
addium sas,,id
addlife inc,,cy
addon systemhaus,,cy
addon systemhaus gmbh,,cy
addrienne arsht center,,fr
ade vertriebs gmbh,,af
adecco,,it
adecco business solutions gmbh,,en
adecco formation,,it
adecco france,,it
adecco france  nantes,,it
adecco groupe,,it
adecco outsourcing,,pt
adecco training,,it
adecco tt,,it
adecco tt sa empresa de trabajo,,es
adecco tt sa empresa de trabajo,,es
adefim,,cy
adefim loire atlantique,,fr
adefim midi pyrenees,,et
adefim midipyrenees,,et
adefim poitou charentes,,pt
adefy,,cy
adei esat de marlonges,,ca
adekma levage sarl,,et
adekma ouest,,pt
adel wiggins group,,af
adelante gmbh,,es
adele brucks,,da
adelie,,af
adelwiggins group,,af
adelwitz technologiezentrum gmbh,,de
aden hotel,,nl
aden services,,es
adentis,,pt
adentis_1,,pt
adepetun caxtonmartins agbor,,ca
adept fasteners inc,,en
adept fasteners inc,,en
adept pure water limited,,en
adept pure water ltd,,en
adept training services,,en
adept training services ltd,,en
adeptis group partnership limited,,en
adeptis group partnership ltd,,en
adepto geoinformtaics p ltd,,ca
adera,,pt
adera  association develop enseign,,en
adera association develop enseign,,fr
adera services,,pt
adeslas,,es
adesso ag,,pt
adetel equipment,,ca
adetel group,,af
adetests,,da
adetests sas,,et
adewerk gmbh,,af
adex beratungs gmbh  cokg,,id
adex group,,fr
adexen,,so
adezif nord,,pt
adf,,cy
adf cote ouest,,fr
adf dgh maintenance s l,,en
adf dgh maintenance sl,,en
adf group,,en
adf midi pyrenees,,cy
adf midi pyrenees sas,,et
adf technologies,,cy
adfc  allg deutscher fahhrad club ev,,de
adfc radstation bremen gmbh,,sv
adfdgh maintenance,,id
adfinis sygroup ag,,en
adforall,,cy
adg,,id
adg  ateliers des graves,,da
adga group consultants inc,,ca
adhesive metering,,sq
adhesives tapes  plastics sl,,en
adhetec,,sq
adhetec sas,,sq
adhs,,so
adi,,id
adi industrie,,it
adi luger,,id
adi mechanical limited,,it
adi software gmbh,,so
adia,,id
adicom,,pt
adicom solutions gmbh,,pt
adie,,af
adimage adexpo,,pt
adimage adexpo sas,,pt
adista midipyrenees,,et
adit,,id
adit  agence pour la diffusion,,fr
adk electric corporation,,en
adl creative resources sdn bhd,,en
adler instrumentos sl,,da
adlfa31,,cy
adlon,,cy
adlon datenverarbeitung gmbh,,de
adlon intelligent solutions gmbh,,fr
adm,,pt
adm groupe,,fr
adm sarl  monsieur bricolage,,fr
adm21,,pt
admin arsenal inc,,en
admin nacional de aviacion civil,,es
administradora de espacios,,pt
administrative committee of,,en
admiral flooring services ltd,,en
admissions sas,,et
admixx gmbh,,so
admixx gmbh werbemittel systemhaus,,de
adn distribution gmbh,,id
adnec services llc,,ca
ado,,pt
adobe,,pt
adobe inc,,es
adobe systems,,sk
adobe systems incorporated,,en
adobe systems software ireland,,en
adobe systems software ireland limi,,en
adoc ingenierie,,af
adolf frey gmbh,,cy
adolf lupp gmbh  co kg,,it
adolf mueller gmbh  co kg,,es
adolf pfeiffer gmbh,,cy
adolf reiss  sohn kg,,en
adolf richter gmbh,,cy
adolf wãrth gmbh  co kg,,cy
adolf witte,,en
adolf wrth gmbh  co kg,,cy
adolf wuerth gmbh  co kg,,cy
adolf wuerth gmbh und co kg,,cy
adolf wurth gmbh  co kg,,cy
adolph burmeister,,de
adorn logistics private limited,,en
adosm,,pt
adp,,id
adp employer services gmbh,,en
adp india private limited,,it
adp international services bv,,en
adp inc,,en
adpc 31,,ca
adr ag,,cy
adr sas,,id
adr sas,,id
adrar,,cy
adrar formation,,en
adrem group,,pt
adriana flores y cosassl,,es
adriana flores y cosassl,,es
adrien barbet,,sv
adrienne arsht center,,fr
ads,,sv
ads  advanced design services gmbh,,en
ads analyse detection securite,,en
ads b network,,af
ads group,,en
ads group limited,,en
ads2,,sv
adsbexchangecom llc,,pt
adt international,,en
adtech polymer engineering ltd,,no
adva optical networking se,,en
advance integration technology,,en
advance integration technology s,,en
advance it solutions ltd,,fr
advance metrology solutions,,en
advance metrology solutions sl,,en
advance metrology solutions sl,,en
advanced analysis  integration ltd,,en
advanced analysis integration ltd,,en
advanced business computers,,en
advanced business events,,en
advanced business events  abe,,en
advanced center for,,en
advanced computer systems acs,,en
advanced control solutions llc,,it
advanced development methods inc,,en
advanced electrical tools,,en
advanced electronics company l,,ca
advanced electronics company ltd,,ca
advanced engineering  innovat,,nl
advanced engineering  innovation,,en
advanced functional fabrics,,en
advanced ground systems engineering llc,,en
advanced integrated technology,,en
advanced integration technology lp,,en
advanced manufacturing researc,,en
advanced manufacturing research,,en
advanced metrology solutions sl,,en
advanced metrology solutions sl,,en
advanced navigation pty ltd,,en
advanced plastic  material,,en
advanced power components,,en
advanced realtime tracking gmbh,,en
advanced robotics for manufacturing,,en
advanced simulation technology,,en
advanced technical group,,en
advanced technology group,,en
advanced technology group gmbh,,en
advanced theodolite technology inc,,en
advanced theodolite technology inc,,en
advanced training methods,,en
advanced training methods sl,,en
advanced visual systems inc,,en
advantage destination  meeting service,,en
advantages,,af
advanteam  partners,,pt
advantec gmbh,,ca
advantech europe bv,,fr
advantech wireless,,en
advantech wireless emea ltd,,en
advantest france,,fr
advantic sistemas servicio sl,,es
advatera gmbh,,id
adveez,,hu
adveez s a s,,hu
advendi,,da
advenis property management,,nl
adventa corporation,,it
adventice sarl,,it
adventure associates,,en
adventure associates inc,,en
adventure club kaiserwinkl,,en
advice as,,en
advico microelectronics gmbh,,es
advionics nv,,ca
advisors in special process sl,,en
advokat ing judr bystrik bugan,,id
advolis,,lt
adz nagano gmbh,,tl
ae architekt und energieberater,,de
ae audio express gmbh  co kg,,pt
ae petsche company,,en
ae torr,,en
ae2l,,cy
aea,,cy
aea association des anciens eleves de lecole de l,,fr
aea srl,,ro
aea srl loccioni,,it
aeamiorfe sl,,en
aearo technologies llc,,cy
aeb,,cy
aeb  gesellschaft zur entwicklung von branchenso,,de
aeb gesellschaft zur entwick,,de
aeb gesellschaft zur entwicklung von branchen so,,de
aeb gmbh,,cy
aeb se,,et
aebi schmidt,,de
aebi schmidt deutschland gmbh,,de
aebi schmidt uk limited,,de
aec informatique,,fr
aeca  helicopteros,,es
aece group,,fr
aecoc  la asociacion de fabricantes y distribuido,,es
aecom france sas,,pt
aecom infrastructure  environ,,fr
aecom infrastructure  environment,,fr
aecom limited,,ro
aecom ltd,,pt
aecom technical services inc,,en
aed alarme et detection,,fr
aed engineering gmbh,,af
aedcp,,cy
aefc,,cy
aeg,,cy
aeg power solution,,en
aeg power solutions,,en
aeg power solutions sas,,en
aeg stromversorgungssystems gmbh,,no
aegis software gmbh,,en
aegis technologies group,,en
aegleteq ltd,,ca
aegyptisches generalkonsulat,,de
aehp,,cy
aei,,cy
aelion,,cy
aelis mexico s de rl de cv,,es
aem inc,,pt
aem international,,en
aemc,,cy
aen,,cy
aena,,cy
aena sa,,tl
aeneas,,en
aenor,,cy
aenor internacional sau,,es
aequinox,,pt
aer arann,,cy
aer lingus,,et
aer0 3a,,cy
aera technologies gmbh,,pl
aera verlag muenchen gmbh,,nl
aerc acquisition corporation,,fr
aerco ltd,,it
aerem,,da
aerial,,id
aerial industries llc,,ca
aerial platforms sa,,ca
aeriam technologies sl,,en
aernnova,,sk
aernnova composites illescas sau,,ca
aernnova engineering division sau,,af
aertec,,ro
aertec industrial engineering slu,,en
aertec solution,,fr
aertec solutions,,fr
aertec solutions engineering,,en
aertec solutions gmbh,,fr
aertec solutions ltd,,fr
aertec solutions sl,,fr
aertec solutions sl,,fr
aertec solutions sl,,fr
aertec solutions sl,,fr
aertech,,de
aerzen international rental bv,,it
aerztebedarf,,cy
aerztekammer berlin,,de
aes,,cy
aes cs,,ca
aes sopra,,ca
aes ferchau,,cy
aes ingenierie,,af
aeti informatique,,fr
aetos design engineering pvt ltd,,af
aew wassertechnologie gmbh,,pl
af chasset,,en
af fasteners,,da
af steelcase,,nl
af steelcase sa,,af
afa association francaise,,fr
afa seminare gmbh,,ro
afalg gaspard partner,,da
afc ingenieros sa,,af
afcea,,ro
afcea bonn e v,,it
afcea bonn ev,,ro
afci association francaise du,,fr
afcot,,en
afcstab,,da
afea travel and tourism sa,,en
afelec electricit gnrale,,ro
afenda,,da
afep,,da
afeti sarl,,da
afeurac,,fr
affinity for business ltd,,en
affinity water ltd,,en
affitomare,,it
affutage de lartois,,fr
affutage de precision de normandie,,fr
affutage doc,,fr
affutage lyonnais,,fr
affutage rectification mecanique,,fr
affutage service ryo,,en
affuteuse diffusion,,fr
afhsh,,da
afi  pm belz,,da
afi flight inspection gmbh,,en
afi uplift limited,,ro
afi uplift ltd,,da
afim,,da
afis,,da
afis gmbh  co kg,,en
afly affutage lyonnais,,cy
afm,,da
afm navattoni sa,,it
afm recyclage,,en
afmaãâ,,cy
afmg technologies gmbh,,en
afnet,,da
afnor,,cy
afnor  association,,en
afnor certification,,en
afnor competences,,pt
afnum,,ro
afometra,,da
afos,,ro
afotan,,da
afotek gmbh,,da
afp,,da
afpa,,da
afpa entreprises,,fr
afpa midi pyrenees,,et
afpa midipyrenees,,af
afpi,,da
afpi 8002,,da
afpi charente maritime,,it
afpi lr,,da
afpi midi pyrenees,,da
afpi midipyrenees,,da
afpi pays de la loire,,fr
afpi pays de loire,,fr
afpi provence,,it
afpw prãfwerkstatt koellner,,af
afpw pruefwerkstatt koellner,,da
afr event furnishings,,en
afrika verein veranstaltungs gmbh,,af
afrikaverein ev,,da
afrolynk gug,,cy
afs,,da
afs fittings service achim,,en
afs ground support services ltd,,en
afs rotel ltd,,da
afsm,,da
afso,,da
afso  agent fabrique sud ouest,,fr
afso ea,,da
aft automation gmbh,,en
aft gmbh  co kg,,en
aft isteli,,da
aftcpzie,,de
afte  association francaise,,fr
afte association francaise tresorie,,fr
after print,,da
aftpva ass fr technicien,,en
aftral,,da
afw group,,cy
agap,,tl
agap 2 hiq consulting,,en
agapei,,tl
agapei clermont capelas,,ca
agar scientific ltd,,it
agb mecanique de precision,,fr
agc,,tl
agd environnement,,fr
agelec,,nl
agelia,,nl
agence 3ms,,fr
agence aquabellec idf1,,fr
agence bilis traduction,,en
agence chine tourisme,,fr
agence comptable du palais de la,,fr
agence de developpement economique,,fr
agence de leau adourgaronne,,fr
agence de leau artois picardi,,fr
agence de leau loirebretagne,,fr
agence france presse  afp,,fr
agence francepresse,,fr
agence kas editions,,en
agence n9,,fr
agence nationale des frequences,,fr
agence pour la protection des programmes app,,fr
agence pour la valorisation de la,,fr
agence reuter,,fr
agence sarec,,fr
agence step by step,,en
agence verywell,,en
agencia de certificacion en innovac,,es
agencia efe,,es
agencia efe sa,,es
agencia estatal consejo superi,,es
agencia estatal consejo superior de investigaciones cientificas,,es
agencia estatal de meteorologia,,it
agency group,,en
agency group ag,,en
agenium,,lt
agenium informatique  systemes,,fr
agent fabrique sud ouest,,fr
agent3d ev,,fr
agentur,,id
agentur fãr arbeit,,de
agentur fuer arbeit,,de
agentur fuer arbeit ingolstadt,,de
agentur fuer informatik gmbh,,da
agentur junges herz,,de
agentur junges herz  sk schulkurier gmbh,,de
agentur mediafusion,,en
ageo geometres experts sas,,ca
agerul industrias quimicas s l,,pt
agerul industrias quimicas sl,,pt
agf,,cy
agfa graphics nv,,en
agfa graphics nv zn deutschland,,de
aggreko,,no
aggreko iberia sa,,id
agh gerfahrgutseminare,,de
agh gerfahrgutseminare luftverkehr,,de
agh system,,en
agi,,tl
agi ottobrunn,,it
agi sk,,tl
agi uk,,id
agicom,,it
agicom sas,,pt
agie charmilles gmbh,,fr
agifors treasurer,,en
agilcom sarl,,tl
agile maker france,,da
agilea,,tl
agilea conseil,,ro
agilea formation,,en
agilent technologies,,fr
agilent technologies france,,fr
agilent technologies sales,,fr
agilent technologies sales  services gmbh  co kg,,fr
agilent technologies spain sl,,fr
agilergo consulting,,it
agilergo consulting gmbh,,it
agiliad technologies private,,it
agilios personal gmbh,,it
agility logistics gmbh,,en
agility spain sa,,tl
agility spain sa,,tl
agiltech,,de
aginnovations,,it
agio trabajo temporal sa,,es
agip,,tl
agir soigner eduquer inserer,,ca
agiroute,,fr
agite,,tl
agk hochleistungswerkstoffe gmbh,,de
agl atlantique,,fr
aglo,,tl
agmp,,tl
agn niederberghaus  partner gmbh,,de
agnes mentil,,fr
ago ag energie anlagen,,no
agomo services,,it
agora akademie goitzsche,,pl
agora akademie goitzsche gmbh,,pl
agora clubs,,ca
agora consult,,it
agora vita,,it
agora voyages  wagram energie,,af
